HH,EndPoint,C,E,M,V,OTH,FOLLOWUP
606802,E4,N-,,,,,
607481,E3,P+,P+,,P+,,
608916,E1,P+,P+,,P+,,
611072,E3,P+,,,P+,P+,
611529,E6,N-,,,,,
615114,E6,,,,,N-,
615651,E1,P+,P+,,P+,,
617048,E1,P+,P+,,,,
617783,E3,,P+,,,,
618186,E3,,P+,,,,
619189,E1,,P+,,,,
619779,E5,,P+,,,,
620421,E4,,,,N-,,
620446,E4,,,N-,,,More
620595,E1,P+,P+,,,,
622099,E1,P+,P+,,,,
624463,E5,,P+,,,,
624973,E1,P+,P+,,,,
626030,E5,,P+,,,,
627477,E1,,P+,,,,
627703,E1,,P+,,,,
628201,E1,P+,P+,,P+,,
628487,E6,N-,,,,,
631442,E3,,,,P+,,
631551,E5,,,,,P+,
635150,E3,,P+,,,,
635565,E6,N-,,,,,
638426,E4,,,,,N-,
638621,E1,,P+,,P+,,
642171,E3,,P+,,,,
643099,E4,N-,,,,,
644177,E1,,P+,,,,
644204,E1,P+,P+,,,,
644204,E5,,P+,,,,
645894,E5,,P+,,,,
647363,E2,N-,,,,,
647677,E6,N-,,,,,
648219,E1,,,,P+,,
648568,E1,,P+,,,,
649029,E4,,,,,N-,
653130,E5,,P+,,,,
657362,E3,,P+,,P+,,
658561,E4,N-,,,,,
659576,E5,,P+,,,,
662552,E1,,P+,,,,
662918,E3,P+,P+,,,,
662933,E1,,P+,,,,
664013,E1,P+,P+,,,,
664153,E5,,P+,,,,
664562,E5,,P+,,,,
665284,E5,,P+,,,,
665780,E1,,P+,,,,
665841,E1,P+,P+,,P+,,
667709,E1,P+,P+,,P+,P+,
668047,E3,P+,P+,,,,
668141,E1,P+,P+,,P+,,
668517,E2,N-,,,,,
669452,E4,N-,,,N-,,
671278,E4,N-,,,,,
673420,E5,,P+,,,,
674827,E4,N-,,,,,
675456,E3,,P+,,,,
676266,E5,,P+,,,,
676360,E1,P+,P+,,P+,,
680646,E4,N-,,,,,
681551,E4,,,,,N-,
684709,E6,,,N-,,,More
684749,E1,,P+,,,,
687846,E1,P+,P+,,,,
690271,E5,,P+,,,,
690645,E4,N-,,,,,
693783,E4,N-,,,,,
697694,E4,N-,,,,,
699823,E1,P+,P+,,P+,,
700354,E4,,,,N-,,
700459,E3,,P+,,,,
700475,E3,,P+,,P+,,
701370,E2,N-,,,,,
701520,E1,P+,P+,,P+,,
701600,E6,N-,,,,,
703777,E3,,P+,,,,
704036,E3,,P+,,,,
705057,E1,P+,P+,,P+,,
705975,E1,,P+,,,,
708083,E1,P+,P+,,,,
710446,E5,,P+,P+,,,
714120,E4,,N-,,,,
716845,E4,,,N-,,,More
717352,E1,P+,P+,,P+,,
717467,E1,P+,P+,,,,
717890,E3,,P+,,,,
718250,E5,,P+,,,,
718584,E1,P+,P+,,,,
719811,E4,N-,,,,,
720964,E1,P+,P+,,,,
721456,E3,,P+,,,,
723356,E6,,,,,N-,
724840,E6,,,N-,,,No Change
724918,E5,,P+,,,,
725771,E3,P+,P+,,P+,,
726224,E4,N-,,,,,
729495,E1,P+,P+,,,,
731226,E6,N-,,,,,
731363,E1,,P+,,,,
731668,E4,N-,,,,,
735744,E1,P+,P+,,P+,P+,
736208,E2,N-,,,N-,,
736315,E1,P+,P+,,,,
737144,E5,,P+,,,,
737306,E1,P+,P+,,,,
740113,E1,,P+,,P+,,
741745,E3,,P+,,,,
741745,E4,,,,,N-,
743348,E4,N-,,,,,
745883,E1,,P+,,,,
746264,E1,P+,P+,,,,
747058,E6,,,N-,,,No Change
747060,E5,,P+,,,,
747364,E1,P+,P+,,P+,,
747397,E3,P+,P+,,,,
748404,E5,,P+,,,,
751022,E3,,P+,,,,
752868,E1,P+,P+,,,,
753600,E3,,P+,,,,
754324,E6,,,N-,,,
754739,E1,,P+,,,,
754889,E5,,P+,,,,
756356,E4,,,,N-,,
758158,E1,,P+,,,,
758942,E1,P+,P+,,P+,,
759456,E3,P+,P+,,P+,,
